brand,perfume,launch_year,main_accords,notes
Rasasi,Daarej,0,"balsamic, vanilla, warm spicy, powdery, aromatic","rose, orris root, sandalwood, patchouli, amber, musk, vanilla, tonka bean, cardamom, artemisia, cumin"
Azzaro,Twin for Men,2008,"fruity, almond, fresh spicy, citrus, woody","bergamot, green apple, mandarin orange, almond, patchouli, sandalwood, nutmeg, palisander rosewood"
Natura,X,2008,"woody, green, aromatic, powdery, citrus, vanilla","jasmine, rose, lily-of-the-valley, violet, green notes, sandalwood, musk, cedar, vetiver, vanilla, bergamot, green mandarin, rose, cassis"
Brooks Brothers,Miss Madison,2012,"floral, citrus, fruity, sweet, musky, fresh","hibiscus, apricot blossom, amber, musk, pink grapefruit, red apple"
Eudora,Soul Cosmopolitan Twist,2011,"fruity, citrus, sweet, sour, fresh","fruity notes, citruses"
Carolina Herrera,212 Men White,2003,"aromatic, woody, citrus, fresh spicy, warm spicy, musky","lavender, cardamom, coriander, pepper, vetiver, musk, sandalwood, virginia cedar, tobacco, bergamot, mandarin orange"
Afnan Perfumes,Supremacy Gold,2013,"floral, powdery, fresh spicy, patchouli, oud","patchouli, iris, amber, vanilla, benzoin, agarwood (oud), violet, peach blossom, cumin, nutmeg"
Chopard,1000 Miglia Extreme,2015,"leather, aromatic, asphault, woody, fresh spicy","asphalt, cedar, leather, lavender"
Evody Parfums,Bois Secret,2008,"fresh spicy, balsamic, aromatic, amber, woody, warm spicy","sandalwood, nutmeg, patchouli, amber, tonka bean, bergamot, pepper"
Coty,Ghost Myst,1995,"aquatic, fruity, fresh, musky, white floral","jasmine, mandarin orange, peach, magnolia, red berries, water notes, sandalwood, musk"
Maxim s de Paris,Maxim s de Paris,1984,"floral, aromatic, green, fresh spicy, amber, warm spicy","carnation, jasmine, african orange flower, narcissus, geranium, tuberose, rose, mimosa, dyer\u2019s greenweed, musk, french labdanum, sandalwood, patchouli, oak moss, amber, vanille, heliotrope, hyacinth, cassis, mint, melon"
Mary Kay,Angelfire,1977,"green, woody, citrus, aromatic, musky, white floral","tuberose, jasmine, rose, lily-of-the-valley, sandalwood, musk, vetiver, bergamot, lemon, green leaves, galbanum"
Charrier Parfums,Ponant,0,"sweet, caramel, patchouli, vanilla, cacao, warm spicy","peach, apricot, passionfruit, patchouli, vanille, caramel, chocolate, bergamot, mandarin orange"
Panier des Sens,Verbena,0,"aromatic, citrus, woody, fresh spicy, green","rosemary, lily, musk, tonka bean, lemon, eucalyptus"
CIEL Parfum,Nuage 24,0,"woody, balsamic, musky, green, floral","floral notes, green notes, cedar, sandalwood, tonka bean, musk, floral notes, peach, musk"
Mistral,Wild Blackberry,0,"fruity, sweet, vanilla, woody, musky, citrus","violet leaf, vanille, musk, blackberry, grenadine, amalfi lemon, orange"
Natura,Freshness Black Pitanga,2003,"fresh, floral, fruity, citrus, green","jasmine, rose, apple, sandalwood, musk, lemon, grapefruit, cherry blossom"
Milton Lloyd,Chique For Men,0,"aromatic, woody, fresh spicy, warm spicy, balsamic","lavender, tonka bean, cedar, sandalwood, musk, vanilla, wormwood, mint, cardamom"
Christian Dior,Cuir Cannage,2014,"leather, woody, white floral, smoky, powdery","leather, jasmine, rose, iris, birch, juniper, leather, orange blossom, ylang-ylang"
Etat Libre d Orange,Josephine Baker,2010,"sweet, citrus, woody, warm spicy, balsamic, fresh spicy","jasmine, cardamom, grapefruit, pepper, sweet notes, champagne, sandalwood, french labdanum, lorenox"
Frau Tonis Parfum,No 10 Unter den Linden,2009,"floral, honey, sweet, green, powdery","white honey, green notes, lime (linden) blossom"
Pussy Deluxe,Sugar Cat,2014,"sweet, vanilla, powdery, citrus, fruity","violet, musk, vanila, orange, raspberry"
Boadicea the Victorious,Majestic,2008,"honey, rose, woody, white floral, green, floral","cassia, white honey, guaiac wood, rose oil, narcissus, amaryllis, jasmine"
Frederic M,Doryan,0,"warm spicy, rose, woody, musky, amber, white floral","rose, jasmine, spicy notes, sandalwood, amber, musk, fruity notes"
Monotheme Fine Fragrances Venezia,Apotheose de Rose,0,"rose, fruity, patchouli, citrus, sweet","rose, musk, patchouli, tonka bean, mandarin orange, pear"
Le Blanc,Pivoine,0,"rose, floral, musky, warm spicy, fresh","peony, rose, spicy notes, white musk"
Alexandre J,St Honore,2013,"citrus, vanilla, soft spicy, aromatic, sweet","jasmine, pink pepper, tonka bean, tuberose, vanilla, bergamot, grapefruit, lemon, anise"
Michael Kors,Very Pretty,2008,"white floral, citrus, woody, coconut, sweet","jasmine, orange blossom, gardenia, vetiver, sandalwood, bergamot, mandarin orange, violet leaf, coconut"
Nina s Nature,NoNo,2012,"aromatic, fresh spicy, musky, amber, woody","petitgrain, rosemary, ambrette (musk mallow)"
4160 Tuesdays,Ealing Green,2013,"aromatic, fresh spicy, herbal, floral, green","geranium, lavender, violet, patchouli, oakmoss, grass, rose, thyme"
Swiss Arabian,Puirty,0,"fruity, sweet, musky, citrus, amber, white floral","pear, jasmine, big strawberry, sugar, raspberry, amber, musk, bergamot, apple"
Julie Burk Perfumes,Evock,2012,"woody, powdery, white floral, fruity, green, sweet","lily, rose, jasmine, orchid, iris, cedar, sandalwood, oakmoss, musk, green notes, cassis, pineapple, peach"
Lush,Smell of Weather Turning,2011,"green, herbal, aromatic, fresh spicy, woody","nettle, oak, hay, beeswax, mint, chamomile, oakmoss, cinnamon"
David Victoria Beckham,Signature for Her,2008,"floral, powdery, vanilla, patchouli, soft spicy","orchid, heliotrope, vanilla, patchouli, amber, musk, star anise, green apple"
Dana,Fetish,1997,"floral, citrus, powdery, musky, woody","jasmine, iris, ylang-ylang, rose, tuberose, violet, lily-of-the-valley, sandalwood, amber, musk, grapefruit, lemon leaf, peach, pineapple"
Sylvie,No 7,0,"aromatic, fresh spicy, floral, ozonic, woody, white floral","clary sage, jasmine, peony, pepper, woodsy notes, marigold, watermelon"
Lily Lambert,Spectrum U,2007,"woody, rose, caramel, balsamic, powdery","sandalwood, rose, caramel"
Chopard,Casmir Summer Breeze,2004,"citrus, white floral, fruity, sweet, tropical, fresh spicy","jasmine, gardenia, geranium, lily-of-the-valley, patchouli, sandalwood, musk, vanilla, bergamot, mandarin orange, coconut, mango, peach, lemon"
Ahjaar,Kahraman,2014,"woody, oud, balsamic, powdery, fresh spicy","sandalwood, agarwood (oud), pomegranate"
Escada,Escada Blue Romance,1995,"fruity, fresh, floral, rose, ozonic","peony, black currant, melon, lily, mandarin orange, peach, apple, rose"
Laurelle London,Sphere Sport,0,"rose, fruity, floral, sweet, sour","floral fruity notes, rose, lily-of-the-valley"
Marc Jacobs,Violet,2015,"powdery, floral, vanilla, white floral, citrus","white lily, jasmine, magnolia, violet, patchouli, musk, vanilla, calabrian bergamot, green apple, kumquat"
Romane,Kitt Katt,0,"white floral, musky, animalic, floral","musk, jasmine, gardenia"
One Seed,Devotion,2009,"fresh spicy, warm spicy, aromatic, rose, cacao","iris, rose, ylang-ylang, geranium, cacao, amber, vanilla, blood orange, black pepper, cardamom"
Christina Aguilera,Inspire,2008,"white floral, tuberose, tropical, fruity, sweet","tuberose, gardenia, rose, sandalwood, musk, valencia orange flower, freesia, mango, lemon"
Hugo Boss,Boss Jour Pour Femme Lumineuse,2015,"white floral, citrus, floral, leather, smoky","lily-of-the-valley, freesia, honeysuckle, musk, amber, birch, grapefruit blossom, lemon"
Lavanila Laboratories,Vanilla Coconut,2007,"vanilla, coconut, sweet, white floral, powdery, tropical","sandalwood, heliotrope, coconut, vanilla, tiare flower"
Penhaligon s,Endymion Concentr,2016,"fresh spicy, aromatic, herbal, leather, floral, citrus","geranium, suede, leather, incense, nutmeg, bergamot, lavender, sage"
Gocce di Byron,Vernazza,2015,"woody, citrus, white floral, amber, aromatic, green","citruses, mandarin orange, vetiver, cedar, amber, jasmine"
Des Filles a la Vanille,Je T aime,0,"fruity, floral, sweet, woody, soft spicy","floral notes, black currant, raspberry"
Guy Bouchara,Eau de Cologne Rose,0,"rose, floral, citrus",rose
CIEL Parfum,Demi Lune 7,0,"citrus, woody, fresh spicy, aromatic, amber","bergamot, geranium, amber, cedar, oakmoss, mandarin orange"
CIEL Parfum,Arc en Ciel Crystal Rose,0,"citrus, white floral, rose, marine, musky","rose, white flowers, musk, sea notes, peach, bergamot"
Les Liquides Imaginaires,Dom Rosa,2013,"woody, citrus, rose, aldehydic, fresh, sweet","damask rose, cloves, olibanum, woody notes, cedar, vetiver, guaiac wood, champagne, pomelo, pear"
Celine Dion,Paris Nights,2007,"woody, powdery, floral, vanilla, white floral, sweet","laburnum, osmanthus, wild jasmine, rose, sandalwood, amber, patchouli, vanilla, cashmere wood, passionfruit, black violet, wisteria"
Aqaba,Vie d Amour Men,2015,"woody, sweet, citrus, fruity, almond, vanilla","almond, pear, bergamot, cedar, sandalwood, tonka bean, bourbon vanilla, lime, ginger, green accord"
Neil Morris,Vanillaman,2013,"woody, aromatic, powdery, vanilla, balsamic","vetiver, orris, tonka bean, sandalwood, vanilla"
Atelier Cologne,Cedre Atlas,2015,"woody, citrus, aromatic, green, fruity","cedar, jasmine, apricot, amber, papyrus, vetiver, bergamot, lemon, black currant"
Crabtree Evelyn,Florentine Freesia Flower Water,2013,"floral, green, fresh spicy, fruity, fresh","cyclamen, lily-of-the-valley, green notes, jasmine, amber, musk, freesia, orange, pear"
Accord Parfait,Citron Mandarine,0,"citrus, fresh, fresh spicy, green, terpenic, aromatic","citruses, lemon, orange, mandarin orange, bergamot"
Alvarez Gomez,Violet,0,"powdery, floral, woody",violet
Satellite,40 a l Ombre,0,"citrus, fresh spicy, aromatic, musky, floral, woody","jasmine, geranium, lavender, patchouli, sandalwood, musk, amalfi lemon, bergamot, orange, grapefruit, aldehydes"
Alye Parusa,Assol,1971,nan,nan
L acqua Di Fiori,H2O 4XY,2010,"citrus, musky, fruity, fresh spicy, sweet","galbanum, geranium, fruity notes, freesia, oakmoss, musk, grapefruit, lime, mandarin orange"
La Perla,J Aime Elixir,2015,"caramel, fresh spicy, citrus, floral, woody","rose, orris, heliotrope, moss, musk, caramel, bergamot, mandarin orange, black pepper"
Aquolina,Mango Fresco,2015,"tropical, fruity, sweet, sour, woody",mango
Antonio Puig,Rose d Anouk,2001,"rose, citrus, powdery, floral, musky, fresh spicy","rose, violet, pepper, musk, mandarin orange"
Halston,Halston Classic,1975,"woody, balsamic, aromatic, green, earthy","carnation, orris root, jasmine, marigold, ylang-ylang, cedar, rose, sandalwood, amber, patchouli, musk, oakmoss, vetiver, incense, mint, melon, green leaves, peach, bergamot"
Mazzolari,Ambra,0,"citrus, amber, balsamic, fresh spicy, sweet, yellow floral","jasmine, ylang-ylang, ginger, french labdanum, sandalwood, patchouli, amber, vanille, bergamot, tangerine, chamomile"
Il Profvmo,Osmo Scents Cannabis,2011,"floral, smoky, amber, green, herbal","cannabis, floral notes, amber"
Comptoir Sud Pacifique,Le Roi Santal,1988,"woody, powdery, balsamic, warm spicy, floral","virginia cedar, sandalwood, iris"
Perry Ellis,Perry Ellis m,2004,"aromatic, cinnamon, warm spicy, vanilla, soft spicy, woody","cinnamon, balsam fir, sage, tonka bean, vanilla, cashmere wood, vetiver, white musk, star anise, bergamot"
Shirley May,Solid Gold,0,"warm spicy, citrus, amber, leather, cinnamon","leather, cinnamon, spicy notes, amber, woody notes, patchouli, orange, grapefruit, mint"
Charme Ess ncia,Fator Top,2013,"citrus, herbal, warm spicy, aromatic, fresh spicy","geranium, spicy notes, patchouli, honey, vanilla, bergamot, coriander, artemisia, sweet orange, lemon verbena"
JoAnne Bassett,Le Voyage,2001,"floral, citrus, balsamic, woody, sweet, white floral","jasmine, lotus, lime (linden) blossom, rose, ylang-ylang, sandalwood, incense, citruses"
Oriza L Legrand,Vetiver Royal Bourbon,0,"woody, aromatic, green, fresh spicy, earthy, herbal","bourbon vetiver, iris, juniper, immortelle, tobacco, labdanum, vetiver, sandalwood, leather, styrax, oakmoss, spicy mint, thyme"
Fulton Roark,Hatteras,2013,"green, warm spicy","green notes, spicy notes"
Ricarda M,Rich Moments Together He,0,"floral, woody, powdery, warm spicy, citrus","carnation, iris, jasmine, lily-of-the-valley, violet, musk, sandalwood, oak moss, virginia cedar, amber, vanille, leather, lavender, bergamot, tangerine, cucumber, red apple, spices"
Humiecki Graef,Eau Radieuse,2009,"green, citrus, aromatic, sweet, fruity","bamboo, mandarin orange, banana, mint, rhuburb, lemon, banana leaf"
Yves Saint Laurent,Opium Eau D ete Summer Fragrance 2004,2004,"citrus, balsamic, warm spicy, white floral, floral, vanilla","carnation, jasmine, patchouli, amber, vanille, myrhh, bergamot, amalfi lemon, orange, mandarin orange"
Parfum Bar,Shanghai Mod 2,0,"floral, fresh spicy, woody, white floral, balsamic","peony, jasmine, heliotrope, cedar, incense, woody notes, black pepper, freesia"
Antonio Banderas,Blue Fresh Seduction for Women,2010,"citrus, floral, fresh, fruity, white floral","jasmine, gardenia, lily-of-the-valley, peony, big strawberry, musk, cedar, benzoin, bergamot, lemon, green apple"
Donna Karan,DKNY Men,2000,"woody, fresh spicy, green, citrus, fresh","ivy, juniper, sandalwood, maple, ginger, mandarin orange"
Majda Bekkali Sculptures Olfactives,Tendre Est La Nuit,2013,"balsamic, warm spicy, leather, smoky, amber, musky","artemisia, pepper, sichuan pepper, benzoin, leather, labdanum, oakmoss, incense, patchouli, castoreum, immortelle, ambrette (musk mallow), carrot seeds, cabreuva"
MOR,Freia,2009,"citrus, white floral, sweet, amber, vanilla, musky","african orange flower, musk, french labdanum, amber, vanille, grapefruit, mandarin orange, clementine"
Cont m 1g,Meu Ritmo,2014,"floral, rose, powdery, sweet, warm spicy, cacao","peony, rose, violet, patchouli, vanilla, massoia wood, pink pepper, cranberry, cacao pod"
Yves Rocher,Mangue Passion,2012,"tropical, fruity, sweet, sour, fresh","passionfruit, mango"
Anna Zworykina Perfumes,Nigredo,2008,"balsamic, aromatic, smoky, woody, oud, bitter","elemi, nard himalayan (jatamansi), wormwood, incense, rose, tuberose, osmanthus, agarwood (oud), patchouli, castoreum, iris, myrrh, vetiver"
L Essence des Notes,Lavande Romarin,0,"aromatic, fresh spicy, citrus, musky, floral, balsamic","lavender, rosemary, musk, tonka bean, bergamot, mandarin orange"
Mary Kay,Winter Wishes,0,"citrus, fresh, fruity, musky, white floral","apple, citruses, jasmine, musk"
Scent on Canvas,Noir de Mars,0,"woody, oud, leather, animalic, amber, balsamic","myrrh, leather, gurjan balsam, amyris, amber, agarwood (oud), guaiac wood, sandalwood, cyperus esculentus"
The Body Shop,Japanese Cherry Blossom,2012,"floral, fruity, fresh, aquatic, green","cherry blossom, apple, magnolia, hinoki wood"
Hilde Soliani,Teatro Olfattivo Di Parma Vecchi Rossetti,2008,"powdery, floral, woody, rose, vanilla","floral notes, rose, violet, vanilla, woody notes, powdery notes"
SP Parfums Sven Pritzkoleit,Sunmilkflowers,2016,"green, floral, milky, caramel, sweet","milk, caramel, green notes, floral notes"
Les Voiles Depliees,Potiche,2011,"floral, vanilla, musky, powdery, citrus","heliotrope, lilac, mimosa, musk, vanille, bergamot"
Black Phoenix Alchemy Lab,Nefertiti,0,"balsamic, woody, green, powdery, smoky","iris, olibanum, red sandalwood, white sandalwood, myrrh, herbal notes"
L T Piver,Mascarade,1928,nan,nan
Evaflor,Symphonie 02,0,nan,nan
Lurk,PRM 016,2015,"woody, floral, oud, balsamic, smoky","woody notes, agarwood (oud), floral notes, myrrh"
Antonio Visconti,Juicy Flower,0,"fruity, woody, sweet, powdery, citrus","jasmine, rose, apricot, coconut, vanilla, white musk, cedar, patchouli, sandalwood, apple, bergamot, magnolia, pink pepper, peach, lime"
Novae Plus,Enchanting Blue,2014,"floral, citrus, white floral, rose, musky, amber","magnolia, rose, white orchid, amber, musk, peach, orange, jasmine"
Krigler,Emeraude Noire 77,1977,"fresh spicy, amber, balsamic, patchouli, vanilla, citrus","nutmeg, pepper, bergamot, patchouli, amber, labdanum, vanilla"
City,Savage,0,"citrus, woody, fresh spicy, aromatic, soft spicy","rosemary, pink pepper, woody notes, bergamot, mandarin orange, grapefruit"
La Rive,Game,2013,"warm spicy, woody, aromatic, aquatic, patchouli","cardamom, sequoia, woody notes, patchouli, musk, water notes, rosemary"
Space NK,Laughter Jour,2011,"floral, fresh, citrus, white floral, woody, rose","jasmine, rose, lilac, peony, musk, sandalwood, virginia cedar, bergamot, pear"
Comme des Garcons,Energy C Grapefruit,2008,"citrus, woody, green, aromatic, white floral, earthy","jasmine, neroli, mandarin orange, iris, musk, oakmoss, vetiver, grapefruit, petitgrain, cassis"
Mark Wright,Mrs Wright,2012,"citrus, fruity, amber, white floral, woody, musky","jasmine, woody notes, amber, musk, lemon, apple, peach, grapefruit"
Parfum Bar,Napoli Mod 1,0,"floral, fresh spicy, green, aquatic, ozonic, fruity","lotus, black pepper, peach, cedar, vanilla, musk, lilac, mint, cloves"
Donna Karan,Essence Lavender,2008,"aromatic, fresh spicy, floral, herbal, sweet",lavender
Blood Concept,XL Oxygen Vert,2015,"citrus, marine, fresh spicy, aromatic, green","seaweed, ginger, lemon, palo santo, violet leaf, musk, woody notes"
